Channel,Mean Acc With,Mean Acc Without,Delta
T7,86.64303368482834,88.66231670746437,-2.0192830226360314
FC5,86.65558237295885,88.58702457868137,-1.9314422057225187
T8,86.72669117267316,88.16037178039551,-1.4336806077223514
AF4,86.78106864293416,87.83410695882944,-1.0530383158952787
P7,86.78316000180367,87.82155880561241,-1.0383988038087466
O1,86.94733786277281,86.8364916397975,0.11084622297531155
F7,86.9598864744871,86.76119996951176,0.1986865049753419
O2,86.97661795677283,86.66081107579745,0.3158068809753729
P8,86.98812088905237,86.59179348212022,0.3963274069321443
F8,87.01949241833809,86.40356430640587,0.6159281119322202
F4,86.93946010536618,86.21533513069153,0.7241249746746519
F3,86.94942931334178,85.31810641288757,1.631322900454208
AF3,87.2861507611397,84.80361424959622,2.482536511543472
FC6,87.3102021523011,84.65930590262779,2.650896249673309
