Channel,Mean Acc With,Mean Acc Without,Delta
AF4,84.07597294875553,87.37817383729495,-3.302200888539417
F4,85.61018622096847,88.15252830584843,-2.5423420848799623
FC5,85.56609490225392,87.1091624101003,-1.5430675078463736
F7,85.57333056965182,87.0717781285445,-1.4984475588926784
T8,85.61109309196472,86.93169692288275,-1.3206038309180315
O1,85.76052203178406,86.11958311951679,-0.3590610877327265
P8,85.77096247673035,86.06284157089566,-0.29187909416531
T7,85.80032629966736,85.90325557667276,-0.10292927700540133
P7,85.86101145744324,85.57344493658647,0.28756652085677104
O2,85.96933107376098,84.98475136964217,0.9845797041188149
F8,86.01865489636698,84.77093577384949,1.2477191225174948
FC6,86.277166874178,83.43529055515926,2.8418763190187377
AF3,87.67769762447902,84.14585682062003,3.531840803858998
F3,86.14936190492966,82.04187055428822,4.107491350641439
