Channel,Mean Acc With,Mean Acc Without,Delta
F4,89.46710209051768,91.76182746887207,-2.2947253783543857
AF4,89.20609064591237,91.20968809494606,-2.003597449033691
FC5,89.30020546301817,90.64499919231122,-1.3447937292930447
F7,89.36817714801201,90.23716908234816,-0.868991934336151
T8,89.39013710388771,90.10540934709402,-0.7152722432063143
F8,89.40791434202438,89.99874591827393,-0.590831576249542
T7,89.43301171828539,89.84816166070792,-0.41514994242253067
P7,89.4696118739935,89.62856072645921,-0.15894885246571278
P8,89.47379466814873,89.6034639615279,-0.1296692933791661
O1,89.58882383811168,88.91328894175015,0.6755348963615262
AF3,89.61392098512405,88.76270605967595,0.8512149254481045
O2,89.66097847009317,88.48036114986127,1.180617320231903
F3,89.5151354206933,87.43882775306702,2.0763076676262813
FC6,89.99247123033572,86.4914045884059,3.5010666419298246
